,Unnamed: 0,TimeStamp,POS_X,POS_Y,POS_Z,Q_W,Q_X,Q_Y,Q_Z,IMU_LAX,IMU_LAY,IMU_LAZ,IMU_AVX,IMU_AVY,IMU_AVZ,ImageFile,DepthFile,SegFile
0,0,1542098918672,1.628652,-1.34287,-0.038781,1.0,-0.0,0.0,0.0,-0.012323,0.012355,-9.79353,3.1e-05,0.000238,0.000235,img_0_0_1542098919031247900.png,img_0_3_1542098919034924900.png,img_0_5_1542098919037481300.png
1,1,1542098927672,0.53922,-0.753961,-0.038781,0.219876,-0.0,0.0,0.975528,-0.004268999999999999,-0.007061,-9.796641,-0.000113,0.000299,0.000157,img_0_0_1542098928056216200.png,img_0_3_1542098928058906700.png,img_0_5_1542098928061151600.png
2,2,1542099006672,1.811826,-1.783541,-0.038781,0.845706,-0.0,0.0,0.5336489999999999,0.007127,-0.006138,-9.802512,1.8e-05,0.000242,-2.0737970000000003,img_0_0_1542099007064132600.png,img_0_3_1542099007066469000.png,img_0_5_1542099007068223000.png
3,3,1542099035673,1.735275,0.0559,-0.038781,0.98893,-0.0,0.0,0.148384,4.352539,3.855151,-9.808618,-0.000499,-0.000436,-1.6099139999999998,img_0_0_1542099036029939100.png,img_0_3_1542099036032202400.png,img_0_5_1542099036034012000.png
4,4,1542099047673,-1.467342,-0.783857,-0.038781,0.12787,0.0,-0.0,-0.991791,0.001481,-0.007923999999999999,-9.816813,0.000579,0.000273,-0.000102,img_0_0_1542099048061266300.png,img_0_3_1542099048063828800.png,img_0_5_1542099048066488000.png
5,5,1542099065673,0.451957,0.408581,-0.038781,0.998721,-0.0,0.0,0.05056,0.012654,-0.006117,-9.813839,-8.4e-05,2e-05,0.24734,img_0_0_1542099066033315900.png,img_0_3_1542099066035907800.png,img_0_5_1542099066037893600.png
6,6,1542099084673,1.410518,-1.137061,-0.038781,0.367928,-0.0,0.0,0.929854,-0.006065999999999999,-0.009834,-9.826376,-0.00031,-0.000789,-0.049669,img_0_0_1542099085056313300.png,img_0_3_1542099085059098500.png,img_0_5_1542099085061113500.png
7,7,1542099104673,1.409426,-2.626755,-0.038781,0.463715,0.0,-0.0,-0.885984,0.010483,-0.007756,-9.815042,0.000146,-0.000411,0.11001500000000003,img_0_0_1542099105098529700.png,img_0_3_1542099105100997700.png,img_0_5_1542099105102974200.png
8,8,1542099105673,1.231574,-2.860746,-0.038781,0.446471,0.0,-0.0,-0.894798,0.005457,0.012056,-9.802399,0.000382,-0.000553,0.012068,img_0_0_1542099106052372000.png,img_0_3_1542099106054721200.png,img_0_5_1542099106056662900.png
9,9,1542099110673,0.955471,-3.581909,-0.038781,0.998886,0.0,-0.0,-0.047189,0.000672,-0.008851000000000001,-9.808173,0.000131,0.000796,-0.238255,img_0_0_1542099111060389300.png,img_0_3_1542099111065377600.png,img_0_5_1542099111067531500.png
10,10,1542099148673,1.235039,-0.919421,-0.038781,0.999582,-0.0,0.0,0.028905,-0.006874,0.010976,-9.820898,-0.000171,-0.00034700000000000003,0.14187,img_0_0_1542099149055872800.png,img_0_3_1542099149058161800.png,img_0_5_1542099149060004300.png
11,11,1542099164673,2.016748,-1.775468,-0.038781,0.468737,-0.0,0.0,0.883338,0.00287,-0.004204,-9.821775,-0.00025,-0.000157,-0.336546,img_0_0_1542099165061760700.png,img_0_3_1542099165064814800.png,img_0_5_1542099165066752300.png
12,12,1542099165673,1.818757,-1.554774,-0.038781,0.414576,-0.0,0.0,0.910014,0.005371,0.000551,-9.804585,-0.000302,0.000418,-0.037418,img_0_0_1542099166041685200.png,img_0_3_1542099166043974400.png,img_0_5_1542099166045869200.png
13,13,1542099166673,1.6395810000000002,-1.355052,-0.038781,0.408371,-0.0,0.0,0.912816,-0.6325,-0.015983,-9.815552,0.00036,-0.00037,-0.004221,img_0_0_1542099167037986700.png,img_0_3_1542099167040240300.png,img_0_5_1542099167042115100.png
14,14,1542099182673,1.600416,-2.379502,-0.038781,0.642483,0.0,-0.0,-0.7663,0.004158,0.00344,-9.807985,0.000296,-0.00057,1.0531629999999998,img_0_0_1542099183077180400.png,img_0_3_1542099183079849900.png,img_0_5_1542099183083039100.png
15,15,1542099193673,0.49117,-3.010848,-0.038781,0.456038,0.0,-0.0,-0.8899600000000001,-0.01136,-0.007188,-9.806086,0.000325,-0.000299,1.752916,img_0_0_1542099194072945100.png,img_0_3_1542099194075443400.png,img_0_5_1542099194077647700.png
16,16,1542099209673,1.906944,-2.145553,-0.038781,0.996018,0.0,-0.0,-0.089157,-0.003566,0.012922,-9.817944,0.000333,-0.0004969999999999999,0.165858,img_0_0_1542099210043622800.png,img_0_3_1542099210046060000.png,img_0_5_1542099210048155200.png
17,17,1542099211673,1.527418,-2.476209,-0.038781,0.83441,0.0,-0.0,-0.551144,-0.0029,-0.012058,-9.803469,-0.000661,3.8e-05,-2.9559450000000003,img_0_0_1542099212088153900.png,img_0_3_1542099212090828600.png,img_0_5_1542099212093361300.png
18,18,1542099246673,1.137682,0.7895260000000001,-0.038781,0.937445,-0.0,0.0,0.348132,-0.006804000000000001,-0.0008960000000000002,-9.79948,-9.2e-05,-4e-05,-0.000151,img_0_0_1542099247044970600.png,img_0_3_1542099247046754400.png,img_0_5_1542099247047726900.png
19,19,1542099261673,0.879443,0.520787,-0.038781,0.342137,0.0,-0.0,-0.93965,3.2e-05,-0.005169,-9.812822,-0.000125,0.00014,8e-05,img_0_0_1542099261899777800.png,img_0_3_1542099261902058200.png,img_0_5_1542099261903897000.png
20,20,1542099264673,0.185688,-0.061635,-0.038781,0.342136,0.0,-0.0,-0.93965,0.002561,0.000252,-9.8103,-8.6e-05,-0.00041,-0.000179,img_0_0_1542099264953029000.png,img_0_3_1542099264955493300.png,img_0_5_1542099264957325500.png
